   z        r        Bz       Br       Btot
 108.000    2.000  0.05140  0.00142  0.05142
 109.000    2.000  0.05001  0.00137  0.05003
 110.000    2.000  0.04867  0.00132  0.04869
 111.000    2.000  0.04737  0.00127  0.04739
 112.000    2.000  0.04612  0.00123  0.04614
 113.000    2.000  0.04492  0.00119  0.04493
 114.000    2.000  0.04375  0.00115  0.04377
 115.000    2.000  0.04263  0.00111  0.04264
 116.000    2.000  0.04154  0.00107  0.04155
 117.000    2.000  0.04049  0.00103  0.04050
 118.000    2.000  0.03947  0.00100  0.03948
 119.000    2.000  0.03849  0.00097  0.03850
 120.000    2.000  0.03754  0.00093  0.03755
 121.000    2.000  0.03662  0.00090  0.03663
 122.000    2.000  0.03573  0.00088  0.03574
 123.000    2.000  0.03487  0.00085  0.03488
 124.000    2.000  0.03404  0.00082  0.03405
 125.000    2.000  0.03323  0.00079  0.03324
 126.000    2.000  0.03245  0.00077  0.03246
 127.000    2.000  0.03169  0.00075  0.03170
 128.000    2.000  0.03096  0.00072  0.03096
 129.000    2.000  0.03024  0.00070  0.03025
 130.000    2.000  0.02955  0.00068  0.02956
 131.000    2.000  0.02888  0.00066  0.02889
 132.000    2.000  0.02823  0.00064  0.02824
 133.000    2.000  0.02760  0.00062  0.02761
 134.000    2.000  0.02699  0.00060  0.02700
 135.000    2.000  0.02640  0.00059  0.02641
 136.000    2.000  0.02582  0.00057  0.02583
 137.000    2.000  0.02526  0.00055  0.02527
 138.000    2.000  0.02472  0.00054  0.02473
 139.000    2.000  0.02419  0.00052  0.02420
 140.000    2.000  0.02368  0.00051  0.02368
 141.000    2.000  0.02318  0.00049  0.02318
 142.000    2.000  0.02269  0.00048  0.02270
 143.000    2.000  0.02222  0.00047  0.02223
 144.000    2.000  0.02176  0.00045  0.02177
 145.000    2.000  0.02132  0.00044  0.02132
 146.000    2.000  0.02088  0.00043  0.02089
 147.000    2.000  0.02046  0.00042  0.02046
 148.000    2.000  0.02005  0.00041  0.02005
 149.000    2.000  0.01965  0.00040  0.01965
 150.000    2.000  0.01926  0.00038  0.01926
 151.000    2.000  0.01888  0.00037  0.01888
 152.000    2.000  0.01851  0.00036  0.01851
 153.000    2.000  0.01815  0.00036  0.01815
 154.000    2.000  0.01780  0.00035  0.01780
 155.000    2.000  0.01746  0.00034  0.01746
 156.000    2.000  0.01713  0.00033  0.01713
 157.000    2.000  0.01680  0.00032  0.01680
 158.000    2.000  0.01648  0.00031  0.01649
 159.000    2.000  0.01618  0.00030  0.01618
 160.000    2.000  0.01587  0.00030  0.01588
 161.000    2.000  0.01558  0.00029  0.01558
 162.000    2.000  0.01529  0.00028  0.01530
 163.000    2.000  0.01502  0.00028  0.01502
 164.000    2.000  0.01474  0.00027  0.01475
 165.000    2.000  0.01448  0.00026  0.01448
 166.000    2.000  0.01422  0.00026  0.01422
 167.000    2.000  0.01396  0.00025  0.01397
 168.000    2.000  0.01372  0.00024  0.01372
 169.000    2.000  0.01347  0.00024  0.01348
 170.000    2.000  0.01324  0.00023  0.01324
 171.000    2.000  0.01301  0.00023  0.01301
 172.000    2.000  0.01278  0.00022  0.01278
 173.000    2.000  0.01256  0.00022  0.01256
 174.000    2.000  0.01235  0.00021  0.01235
 175.000    2.000  0.01214  0.00021  0.01214
 176.000    2.000  0.01193  0.00020  0.01193
 177.000    2.000  0.01173  0.00020  0.01173
 178.000    2.000  0.01153  0.00019  0.01154
