   z        r        Bz       Br       Btot
    8.00     1.00 -4.65544  0.00613  4.65545
    9.00     1.00 -4.64174  0.00650  4.64175
   10.00     1.00 -4.62805  0.00688  4.62805
   11.00     1.00 -4.61382  0.00782  4.61383
   12.00     1.00 -4.59564  0.00937  4.59565
   13.00     1.00 -4.57645  0.00960  4.57646
   14.00     1.00 -4.55726  0.00983  4.55727
   15.00     1.00 -4.53569  0.01231  4.53571
   16.00     1.00 -4.50998  0.01272  4.51000
   17.00     1.00 -4.48380  0.01291  4.48381
   18.00     1.00 -4.45699  0.01363  4.45701
   19.00     1.00 -4.42668  0.01664  4.42671
   20.00     1.00 -4.39384  0.01674  4.39387
   21.00     1.00 -4.36099  0.01683  4.36102
   22.00     1.00 -4.32601  0.01841  4.32605
   23.00     1.00 -4.28739  0.02006  4.28743
   24.00     1.00 -4.24730  0.02081  4.24735
   25.00     1.00 -4.20363  0.02226  4.20369
   26.00     1.00 -4.15753  0.02488  4.15761
   27.00     1.00 -4.11146  0.02441  4.11153
   28.00     1.00 -4.05829  0.02458  4.05836
   29.00     1.00 -4.00575  0.02628  4.00583
   30.00     1.00 -3.95117  0.02912  3.95128
   31.00     1.00 -3.89094  0.03177  3.89107
   32.00     1.00 -3.83042  0.03184  3.83055
   33.00     1.00 -3.76933  0.03207  3.76947
   34.00     1.00 -3.70197  0.03409  3.70212
   35.00     1.00 -3.63585  0.03564  3.63602
   36.00     1.00 -3.56349  0.03533  3.56367
   37.00     1.00 -3.49029  0.03698  3.49048
   38.00     1.00 -3.41445  0.03868  3.41467
   39.00     1.00 -3.33640  0.04034  3.33664
   40.00     1.00 -3.25829  0.04041  3.25854
   41.00     1.00 -3.17573  0.04121  3.17600
   42.00     1.00 -3.09433  0.04180  3.09461
   43.00     1.00 -3.00920  0.04228  3.00950
   44.00     1.00 -2.92402  0.04284  2.92434
   45.00     1.00 -2.83836  0.04318  2.83869
   46.00     1.00 -2.75181  0.04318  2.75215
   47.00     1.00 -2.66513  0.04327  2.66548
   48.00     1.00 -2.57841  0.04324  2.57877
   49.00     1.00 -2.49222  0.04294  2.49259
   50.00     1.00 -2.40692  0.04284  2.40730
   51.00     1.00 -2.32153  0.04252  2.32192
   52.00     1.00 -2.23712  0.04126  2.23750
   53.00     1.00 -2.15617  0.04099  2.15655
   54.00     1.00 -2.07548  0.04093  2.07588
   55.00     1.00 -1.99438  0.03968  1.99478
   56.00     1.00 -1.91811  0.03771  1.91848
   57.00     1.00 -1.84440  0.03737  1.84478
   58.00     1.00 -1.77073  0.03698  1.77112
   59.00     1.00 -1.69986  0.03459  1.70021
   60.00     1.00 -1.63225  0.03289  1.63258
   61.00     1.00 -1.56492  0.03253  1.56526
   62.00     1.00 -1.50249  0.03225  1.50284
   63.00     1.00 -1.44015  0.03086  1.44048
   64.00     1.00 -1.38139  0.02852  1.38169
   65.00     1.00 -1.32443  0.02729  1.32471
   66.00     1.00 -1.27065  0.02736  1.27094
   67.00     1.00 -1.21982  0.02521  1.22008
   68.00     1.00 -1.16973  0.02350  1.16997
   69.00     1.00 -1.12194  0.02335  1.12219
   70.00     1.00 -1.07600  0.02236  1.07623
   71.00     1.00 -1.03204  0.02063  1.03224
   72.00     1.00 -0.98992  0.02063  0.99014
   73.00     1.00 -0.95046  0.01953  0.95066
   74.00     1.00 -0.91235  0.01788  0.91253
   75.00     1.00 -0.87650  0.01684  0.87666
   76.00     1.00 -0.84071  0.01678  0.84088
   77.00     1.00 -0.80901  0.01556  0.80916
   78.00     1.00 -0.77781  0.01465  0.77794
   79.00     1.00 -0.74720  0.01493  0.74735
   80.00     1.00 -0.71910  0.01392  0.71923
   81.00     1.00 -0.69163  0.01306  0.69175
   82.00     1.00 -0.66522  0.01288  0.66535
   83.00     1.00 -0.64093  0.01277  0.64106
   84.00     1.00 -0.61737  0.01223  0.61749
   85.00     1.00 -0.59360  0.01105  0.59370
   86.00     1.00 -0.57289  0.01008  0.57298
   87.00     1.00 -0.55135  0.00983  0.55144
   88.00     1.00 -0.53187  0.00967  0.53196
   89.00     1.00 -0.51284  0.00921  0.51292
   90.00     1.00 -0.49542  0.00844  0.49549
   91.00     1.00 -0.47829  0.00831  0.47837
   92.00     1.00 -0.46177  0.00799  0.46184
   93.00     1.00 -0.44616  0.00764  0.44622
   94.00     1.00 -0.43054  0.00728  0.43061
   95.00     1.00 -0.41618  0.00720  0.41625
   96.00     1.00 -0.40245  0.00686  0.40250
   97.00     1.00 -0.38920  0.00632  0.38925
   98.00     1.00 -0.37655  0.00627  0.37660
   99.00     1.00 -0.36434  0.00599  0.36439
  100.00     1.00 -0.35263  0.00563  0.35268
  101.00     1.00 -0.34172  0.00539  0.34176
  102.00     1.00 -0.33080  0.00529  0.33084
  103.00     1.00 -0.32085  0.00516  0.32089
  104.00     1.00 -0.31070  0.00492  0.31074
  105.00     1.00 -0.30096  0.00477  0.30100
  106.00     1.00 -0.29207  0.00434  0.29210
  107.00     1.00 -0.28333  0.00420  0.28336
  108.00     1.00 -0.27478  0.00416  0.27481
  109.00     1.00 -0.26681  0.00380  0.26683
  110.00     1.00 -0.25894  0.00381  0.25896
  111.00     1.00 -0.25150  0.00368  0.25152
  112.00     1.00 -0.24436  0.00358  0.24439
  113.00     1.00 -0.23763  0.00346  0.23765
  114.00     1.00 -0.23096  0.00328  0.23098
  115.00     1.00 -0.22435  0.00315  0.22437
  116.00     1.00 -0.21826  0.00305  0.21828
  117.00     1.00 -0.21219  0.00294  0.21221
  118.00     1.00 -0.20645  0.00282  0.20647
  119.00     1.00 -0.20095  0.00277  0.20097
  120.00     1.00 -0.19552  0.00263  0.19553
  121.00     1.00 -0.19042  0.00250  0.19043
  122.00     1.00 -0.18545  0.00249  0.18546
  123.00     1.00 -0.18056  0.00240  0.18057
  124.00     1.00 -0.17599  0.00230  0.17600
  125.00     1.00 -0.17154  0.00226  0.17155
  126.00     1.00 -0.16708  0.00212  0.16709
  127.00     1.00 -0.16301  0.00201  0.16302
  128.00     1.00 -0.15890  0.00198  0.15891
  129.00     1.00 -0.15490  0.00195  0.15491
  130.00     1.00 -0.15122  0.00192  0.15124
  131.00     1.00 -0.14750  0.00184  0.14751
  132.00     1.00 -0.14390  0.00173  0.14391
  133.00     1.00 -0.14045  0.00167  0.14046
  134.00     1.00 -0.13708  0.00166  0.13709
  135.00     1.00 -0.13393  0.00157  0.13394
  136.00     1.00 -0.13077  0.00148  0.13078
  137.00     1.00 -0.12777  0.00148  0.12778
  138.00     1.00 -0.12482  0.00146  0.12483
  139.00     1.00 -0.12198  0.00141  0.12199
  140.00     1.00 -0.11923  0.00135  0.11923
  141.00     1.00 -0.11655  0.00130  0.11656
  142.00     1.00 -0.11390  0.00128  0.11391
  143.00     1.00 -0.11143  0.00124  0.11143
  144.00     1.00 -0.10898  0.00122  0.10899
  145.00     1.00 -0.10657  0.00117  0.10658
  146.00     1.00 -0.10431  0.00115  0.10431
  147.00     1.00 -0.10205  0.00111  0.10206
  148.00     1.00 -0.09996  0.00106  0.09996
  149.00     1.00 -0.09789  0.00102  0.09789
    0.00     2.00 -4.70177  0.00017  4.70177
    1.00     2.00 -4.70222  0.00173  4.70222
    2.00     2.00 -4.69953  0.00198  4.69953
    3.00     2.00 -4.69595  0.00419  4.69595
    4.00     2.00 -4.69227  0.00634  4.69227
    5.00     2.00 -4.68408  0.00801  4.68409
    6.00     2.00 -4.67580  0.00971  4.67581
    7.00     2.00 -4.66761  0.01066  4.66762
    8.00     2.00 -4.65768  0.01225  4.65770
    9.00     2.00 -4.64398  0.01262  4.64400
   10.00     2.00 -4.63023  0.01326  4.63025
   11.00     2.00 -4.61543  0.01592  4.61546
   12.00     2.00 -4.59847  0.01903  4.59850
   13.00     2.00 -4.57927  0.01925  4.57931
   14.00     2.00 -4.55948  0.02004  4.55952
   15.00     2.00 -4.53681  0.02347  4.53687
   16.00     2.00 -4.51246  0.02544  4.51253
   17.00     2.00 -4.48634  0.02568  4.48641
   18.00     2.00 -4.45788  0.02821  4.45797
   19.00     2.00 -4.42861  0.03154  4.42872
